date,BTCUSDT,ETHUSDT,USDCUSDT,FDUSDUSDT,SOLUSDT,wrapped-bitcoin,XRPUSDT,TUSDUSDT,MATICUSDT,DOGEUSDT,ORDIUSDT,LINKUSDT,ADAUSDT,BNBUSDT,ARBUSDT,AVAXUSDT,LTCUSDT,OPUSDT,DOTUSDT,MEMEUSDT,wrapped-beacon-eth,INJUSDT,FILUSDT,APTUSDT,SUIUSDT,1000SATSUSDT,TRBUSDT,LUNAUSDT,LUNCUSDT,TRXUSDT,ATOMUSDT,BCHUSDT,BAKEUSDT,ICPUSDT,MINAUSDT,FTMUSDT,AAVEUSDT,RNDRUSDT,NEARUSDT,UNIUSDT,USDPUSDT,JTOUSDT,DYDXUSDT,TIAUSDT,tether,EGLDUSDT,IMXUSDT,BLURUSDT,STXUSDT,CRVUSDT,SKLUSDT,GALAUSDT,FETUSDT,HOOKUSDT,SANDUSDT,ETCUSDT,CAKEUSDT,ARUSDT,CYBERUSDT,MANAUSDT,GMTUSDT,SNXUSDT,LDOUSDT,OSMOUSDT,ACEUSDT,BONKUSDT,STGUSDT,UNFIUSDT,COMPUSDT,GASUSDT,NTRNUSDT,CHZUSDT,STORJUSDT,AUCTIONUSDT,ROSEUSDT,SHIBUSDT,MAGICUSDT,LRCUSDT,WAVESUSDT,RAYUSDT,ARPAUSDT,IOTXUSDT,YGGUSDT,KSMUSDT,MASKUSDT,USTCUSDT,NFPUSDT,ARKUSDT,ALGOUSDT
2019-01-01,64422635599.72896,13677300455.463268,250584341.0073861,0.0,0.0,0.0,14249680464.478922,204642819.23141336,0.0,275088048.5858501,0.0,108304380.73323527,1261212381.9498465,879152887.8663572,0.0,0.0,1786066932.7199204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1219908618.1239524,0.0,2612132470.2302685,0.0,0.0,0.0,10592009.36573449,0.0,0.0,0.0,0.0,141866219.85972783,0,0.0,0.0,2064549306.778545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530736531.80618393,0.0,0.0,0.0,56592006.62723471,0.0,2576348.0817384254,0.0,0.0,0,0.0,0.0,0.0,0.0,24845452.658939667,0.0,0.0,19127449.884711936,0.0,0.0,0.0,0.0,29616993.55212705,317330831.1688695,0.0,0.0,10021763.61913279,0.0,0.0,0.0,0.0,0,52403273.382309385,0.0
2019-01-02,66188448932.14009,14392313036.760887,261532670.09386462,0.0,0.0,0.0,14676635140.833633,205999135.1078604,0.0,278394674.35168165,0.0,111730128.38936925,1303853661.966642,863221330.110088,0.0,0.0,1881104866.7810907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1264376445.8052049,0.0,2847757352.7192893,0.0,0.0,0.0,11000421.234387247,0.0,0.0,0.0,0.0,141435446.13352698,0,0.0,0.0,2081768947.547985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550359474.8486407,0.0,0.0,0.0,57958405.074118614,0.0,3086458.8119412023,0.0,0.0,0,0.0,0.0,0.0,0.0,26911036.42651844,0.0,0.0,19345244.730650954,0.0,0.0,0.0,0.0,30535342.74265106,311264044.8467765,0.0,0.0,10262784.347832898,0.0,0.0,0.0,0.0,0,53700186.44891479,0.0
2019-01-03,67643304990.47443,15922214147.12651,285618972.3460397,0.0,0.0,0.0,15133869936.188208,205134328.61844075,0.0,277010958.9177334,0.0,120723237.74844585,1391808205.6938677,874914238.8823946,0.0,0.0,1976157605.3841653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1300297560.2215447,0.0,2959274201.573228,0.0,0.0,0.0,10794302.73248278,0.0,0.0,0.0,0.0,130050157.41270901,0,0.0,0.0,2081332301.3271582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573950016.7876631,0.0,0.0,0.0,58554682.21979698,0.0,2951589.943196491,0.0,0.0,0,0.0,0.0,0.0,0.0,27690293.862111326,0.0,0.0,20047138.310241934,0.0,0.0,0.0,0.0,31016678.25558754,309518455.2480663,0.0,0.0,10378772.453440033,0.0,0.0,0.0,0.0,0,56806215.80273394,0.0
2019-01-04,65922288582.921715,15277722818.958939,286516389.75418437,0.0,0.0,0.0,14441488490.569548,204391953.8006303,0.0,270922447.5664721,0.0,130475112.89921728,1307372469.3041666,837887454.8053683,0.0,0.0,1882205079.3440168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1294662581.7414052,0.0,2793482956.934024,0.0,0.0,0.0,10458873.847281663,0.0,0.0,0.0,0.0,131421522.79588853,0,0.0,0.0,2062404854.7085073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537511965.9002424,0.0,0.0,0.0,55387544.68228838,0.0,2634124.672284556,0.0,0.0,0,0.0,0.0,0.0,0.0,26356962.638774525,0.0,0.0,19671711.590905517,0.0,0.0,0.0,0.0,30033656.05735047,305187707.988339,0.0,0.0,10493942.370059641,0.0,0.0,0.0,0.0,0,56904502.967349164,0.0
2019-01-05,66650769533.12984,15940848169.781616,294504722.8054924,0.0,0.0,0.0,14496424116.249329,206501472.43657055,0.0,266199773.24779552,0.0,155633565.8231542,1345613019.4569228,862767566.4442351,0.0,0.0,1910747435.5214384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1393197052.1182725,0.0,2803684255.383277,0.0,0.0,0.0,10458058.955323655,0.0,0.0,0.0,0.0,130514431.85738018,0,0.0,0.0,2076194416.4744503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559184998.343307,0.0,0.0,0.0,57138949.0721241,0.0,2567821.5742756086,0.0,0.0,0,0.0,0.0,0.0,0.0,26331706.963618677,0.0,0.0,19858668.93649525,0.0,0.0,0.0,0.0,30372423.025385052,304440516.6332808,0.0,0.0,10423579.484240009,0.0,0.0,0.0,0.0,0,63034511.32088559,0.0
2019-01-06,66070973627.255455,16018302447.242657,290681640.72352326,0.0,0.0,0.0,14315013504.533316,206114235.24589807,0.0,267091632.7652281,0.0,143421403.5168739,1374212784.4979184,854343865.4897851,0.0,0.0,2051821126.939347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1441708602.4675488,0.0,2745774843.9673553,0.0,0.0,0.0,10563088.15447818,0.0,0.0,0.0,0.0,131552405.17292553,0,0.0,0.0,2068439244.9795358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543592808.6320242,0.0,0.0,0.0,56971292.92966107,0.0,2389718.394688303,0.0,0.0,0,0.0,0.0,0.0,0.0,26799462.74530555,0.0,0.0,19871515.49353859,0.0,0.0,0.0,0.0,31551441.117204692,302946691.7108551,0.0,0.0,10342633.421046417,0.0,0.0,0.0,0.0,0,60353311.92395827,0.0
2019-01-07,70084169300.15211,16115376656.500986,300214373.7775302,0.0,0.0,0.0,14789291600.76397,204892017.044613,0.0,267789741.03589398,0.0,144040760.92860392,1507173809.5645516,905101272.6499437,0.0,0.0,2307575892.8622446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1483149282.571106,0.0,2865830239.4927773,0.0,0.0,0.0,9666698.219870828,0.0,0.0,0.0,0.0,130266686.36504512,0,0.0,0.0,2076417540.2935908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569019350.6853428,0.0,0.0,0.0,57383373.086683646,0.0,2446848.4865230713,0.0,0.0,0,0.0,0.0,0.0,0.0,28769332.896225523,0.0,0.0,20945777.60567755,0.0,0.0,0.0,0.0,32325863.500715766,315415263.0202613,0.0,0.0,10839579.933569418,0.0,0.0,0.0,0.0,0,64428198.6968734,0.0
2019-01-08,69602133073.71902,15614190928.600574,313435514.83151346,0.0,0.0,0.0,14762623132.969643,204175177.99421927,0.0,265470231.7680486,0.0,136155433.79291177,1475778727.0006564,896079437.6269069,0.0,0.0,2245232405.2944818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1517013596.5401165,0.0,2787841493.9936357,0.0,0.0,0.0,10006073.200589739,0.0,0.0,0.0,0.0,130203446.58717754,0,0.0,0.0,2070618243.218575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,518602966.0609564,0.0,0.0,0.0,56654936.428810164,0.0,2541837.7063711295,0.0,0.0,0,0.0,0.0,0.0,0.0,28510766.9172243,0.0,0.0,21085011.8401283,0.0,0.0,0.0,0.0,34059885.329159565,291544052.0604442,0.0,0.0,10658012.330954954,0.0,0.0,0.0,0.0,0,61845722.50538595,0.0
2019-01-09,69418693910.45465,15452130779.24307,323217620.0451136,0.0,0.0,0.0,14788107342.618557,201423512.13775176,0.0,262529499.95596024,0.0,150781317.72563127,1493527571.9272435,949451442.212723,0.0,0.0,2334756964.3189545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1706673632.1394699,0.0,2789375951.7096014,0.0,0.0,0.0,9997981.490836855,0.0,0.0,0.0,0.0,131938259.83624509,0,0.0,0.0,2066962684.5225656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,526231800.57357246,0.0,0.0,0.0,56234512.07020609,0.0,2470990.485349292,0.0,0.0,0,0.0,0.0,0.0,0.0,30116920.540720664,0.0,0.0,20703975.06657436,0.0,0.0,0.0,0.0,31924299.64422174,284119833.7275943,0.0,0.0,10465819.295805119,0.0,0.0,0.0,0.0,0,61694283.657060735,0.0
2019-01-10,69609283899.19995,15516781022.69595,341081572.2983093,0.0,0.0,0.0,14993887227.395033,200697160.3184484,0.0,264233137.66301203,0.0,143408064.64511234,1597721781.873208,932116117.8303659,0.0,0.0,2310594500.437043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1829467002.9130228,0.0,2772587128.3487525,0.0,0.0,0.0,9845202.276536716,0.0,0.0,0.0,0.0,130921589.86287215,0,0.0,0.0,2068319295.3167925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,528801961.73768073,0.0,0.0,0.0,57999591.73972437,0.0,3158786.122474149,0.0,0.0,0,0.0,0.0,0.0,0.0,30114207.028808177,0.0,0.0,20685071.090342965,0.0,0.0,0.0,0.0,32451482.10688393,281746515.5520515,0.0,0.0,10536468.813742982,0.0,0.0,0.0,0.0,0,64479082.453423195,0.0
2019-01-11,63326376681.34885,13229569871.910849,355008147.74035543,0.0,0.0,0.0,13510760656.19224,201183530.2693788,0.0,248670052.14559942,0.0,128441058.73364158,1364905851.8941762,843867607.4418668,0.0,0.0,1996446370.8895352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1686722516.9745998,0.0,2337743519.77816,0.0,0.0,0.0,9264670.508304978,0.0,0.0,0.0,0.0,130561459.9791047,0,0.0,0.0,2076503785.0054383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467746919.92585003,0.0,0.0,0.0,48281641.87749241,0.0,2402956.649394521,0.0,0.0,0,0.0,0.0,0.0,0.0,25662113.309692103,0.0,0.0,17308570.34268647,0.0,0.0,0.0,0.0,28341069.614623133,258168515.5323953,0.0,0.0,9071709.248866366,0.0,0.0,0.0,0.0,0,56824545.66564668,0.0
2019-01-12,63121578243.94881,12975985683.226751,358076244.6727932,0.0,0.0,0.0,13425186803.396797,202489445.5378795,0.0,247127034.8778783,0.0,156836918.99861765,1345475396.1491845,858086715.1090991,0.0,0.0,1891592623.5868297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1624693229.8480623,0.0,2261507237.6983414,0.0,0.0,0.0,8794541.549501484,0.0,0.0,0.0,0.0,131707339.99027324,0,0.0,0.0,2074761286.1138682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470223045.17622346,0.0,0.0,0.0,48785594.00288308,0.0,2941027.558664874,0.0,0.0,0,0.0,0.0,0.0,0.0,25546046.766213533,0.0,0.0,17069596.33708933,0.0,0.0,0.0,0.0,29432654.57519152,254587183.2066163,0.0,0.0,8817888.773190241,0.0,0.0,0.0,0.0,0,54040056.21089144,0.0
